01_PortLocation,02_PortName,03_PortAuth,04_PortAddress,05_PortPhone,06_PortFax,07_Port800Num,08_PortEmail,09_PortWeb,10_PortLat,11_PortLong,12_PortLOCODE,13_PortType,14_PortSize,LAT,LONGS
Milner Bay,Port of Milner Bay,Groote Eylandt Mining Co,"Rowell HighwayAlyangula, NT 0885Australia",61 08 8987 4444,61 08 8987 4499,NAN,info@gemco.com.au,www.gemco.com.au,"13° 51' 35"" S","136° 25' 1"" E",AUMIB,"Pier, Jetty or Wharf",Small,-13.859722222222222,136.41694444444443
Mourilyan,Port of Mourilyan,Far North Queensland Ports Corporation Limited,"Cnr Grafton and Hartley StreetsCairns, Queensland 4870Australia",61 7 4052 3888,61 7 4052 3853,NAN,enquiries@portsfnq.com.au,www.cairnsports.com.au,"17° 35' 57"" S","146° 7' 26"" E",AUMOU,"Pier, Jetty or Wharf",Very Small,-17.599166666666665,146.1238888888889
Nhulunbuy,Port of Nhulunbuy,Alcan Gove Pty Limited,"PO Box 21Nhulunbuy, NT 0881Australia",08 89875207,NAN,NAN,info.gove@alcan.com,www.alcangove.com.au,"12° 12' 4"" S","136° 40' 38"" E",NAN,"Pier, Jetty or Wharf",Small,-12.20111111111111,136.6772222222222
Penneshaw,Port of Penneshaw,NAN,PenneshawAustralia,NAN,NAN,NAN,NAN,NAN,"35° 43' 2"" S","137° 56' 33"" E",NAN,"Pier, Jetty or Wharf",Very Small,-35.717222222222226,137.9425
Perth,Port of Perth,NAN,PerthAustralia,NAN,NAN,NAN,NAN,NAN,"31° 57' 55"" S","115° 51' 31"" E",NAN,Harbor,Small,-31.96527777777778,115.8586111111111
Pinkenba,Port of Pinkenba,NAN,PinkenbaAustralia,NAN,NAN,NAN,NAN,NAN,"27° 25' 41"" S","153° 7' 14"" E",NAN,Seaport,Small,-27.428055555555556,153.12055555555557
Point Murat,Port of Point Murat,NAN,Point MuratAustralia,NAN,NAN,NAN,NAN,NAN,"21° 49' 0"" S","114° 11' 27"" E",NAN,"Pier, Jetty or Wharf",Very Small,-21.816666666666666,114.19083333333333
Port Alma,Port of Port Alma,Gladstone Ports Corporation,"Bajool-Port Alma Rd via BAJOOLPort Alma, Queensland 4699Australia",61 7 4934 6931,61 7 4934 6928,NAN,NAN,www.gpcl.com.au,"23° 35' 5"" S","150° 51' 39"" E",AUPTL,"Pier, Jetty or Wharf",Small,-23.584722222222222,150.86083333333332
Port Augusta,Port Augusta,NAN,Port AugustaAustralia,NAN,NAN,NAN,NAN,NAN,"32° 29' 19"" S","137° 45' 38"" E",AUPUG,Harbor,Very Small,-32.48861111111111,137.76055555555556
Port Bonython,Port of Port Bonython,Santos Ltd,"60 Flinders StreetAdelaide, South Australia 5000Australia",61 8 8116 5000,61 8 8116 5050,NAN,NAN,www.santos.com,"33° 0' 1"" S","137° 45' 43"" E",AUPBY,"Pier, Jetty or Wharf",Small,-33.000277777777775,137.76194444444445
Port Giles,Port Giles,Flinders Ports Pty Ltd,"296 St Vincent StreetPort Adelaide, South Australia 5015Australia",+61 8 8447 0611,+61 8 8447 0606,NAN,flindersports@flindersports.com.au,www.flindersports.com.au,"35° 1' 20"" S","137° 45' 50"" E",AUPGI,"Pier, Jetty or Wharf",Very Small,-35.02222222222222,137.76388888888889
Port Hedland,Port of Hedland,Port Hedland Port Authority,"PO Box 2Port Hedland, WA 6721Australia",61 8 9173 0000,61 8 9173 0060,NAN,phpa@phpa.com.au,www.phpa.com.au,"20° 19' 3"" S","118° 34' 37"" E",AUPHE,Seaport,Small,-20.3175,118.57694444444444
Port Huon,Port Huon,NAN,Port HuonAustralia,NAN,NAN,NAN,NAN,NAN,"43° 9' 36"" S","146° 58' 5"" E",AUPHU,Harbor,Very Small,-43.16,146.96805555555557
Port Latta,Port Latta,NAN,Port LattaAustralia,NAN,NAN,NAN,NAN,NAN,"40° 50' 37"" S","145° 23' 10"" E",AUPLA,"Pier, Jetty or Wharf",Very Small,-40.843611111111116,145.3861111111111
Port Lincoln,Port Lincoln,Flinders Ports Pty Ltd,"296 St Vincent StreetPort Adelaide, South Australia 5015Australia",+61 8 8447 0611,+61 8 8447 0606,NAN,flindersports@flindersports.com.au,www.flindersports.com.au,"34° 43' 6"" S","135° 52' 16"" E",AUPLO,"Pier, Jetty or Wharf",Very Small,-34.718333333333334,135.8711111111111
Port Pirie,Port Pirie,Flinders Ports Pty Ltd,"296 St Vincent StreetPort Adelaide, South Australia 5015Australia",+61 8 8447 0611,+61 8 8447 0606,NAN,flindersports@flindersports.com.au,www.flindersports.com.au,"33° 10' 37"" S","138° 0' 41"" E",AUPPI,Seaport,Small,-33.176944444444445,138.0113888888889
Port Stanvac,Port Stanvac,NAN,Port StanvacAustralia,NAN,NAN,NAN,NAN,NAN,"35° 6' 32"" S","138° 28' 8"" E",AUPST,"Pier, Jetty or Wharf",Very Small,-35.10888888888889,138.4688888888889
Port Walcott,Port of Port Walcott,Port Authority of Port Walcott,"Port Walcott PilotsWickham, WA 6720Australia",61 8 9187 1329,61 8 9187 1601,NAN,pilots@kisser.net.au,NAN,"20° 35' 28"" S","117° 10' 55"" E",AUPWL,"Pier, Jetty or Wharf",Small,-20.59111111111111,117.18194444444445
Portland,Port of Portland,Port of Portland Pty Ltd.,"Barton PlaceP.O. Box 292Portland, Victoria 3305Australia",61 3 5525 0900,61 3 5521 7488,NAN,info@portofportland.com.au,www.portofportland.com.au,"38° 20' 57"" S","141° 36' 53"" E",AUPTJ,Harbor,Small,-38.34916666666667,141.6147222222222
Quintell Beach,Port of Quintell Beach,Far North Queensland Ports Corporation Limited,"Cnr Grafton and Hartley StreetsCairns, Queensland 4870Australia",61 7 4052 3888,61 7 4052 3853,NAN,enquiries@portsfnq.com.au,www.cairnsports.com.au,"12° 47' 41"" S","143° 21' 36"" E",NAN,"Pier, Jetty or Wharf",Very Small,-12.794722222222221,143.35999999999999
Rapid Bay,Port of Rapid Bay,Adelaide Brighton Cement,"62 Elder RoadBirkenhead, SA 5015Australia",61 8 8300 0300,61 8 8300 0430,NAN,adelaidebrighton@adbri.com.au,www.adbri.com.au,"35° 31' 9"" S","138° 11' 5"" E",AURAB,"Pier, Jetty or Wharf",Small,-35.51916666666666,138.18472222222223
Risdon,Port of Risdon,NAN,RisdonAustralia,NAN,NAN,NAN,NAN,NAN,"42° 49' 42"" S","147° 18' 45"" E",AURDN,Seaport,Small,-42.82833333333333,147.3125
Rockhampton,Port of Rockhampton,Gladstone Ports Corporation,"First Floor 16 East StreetRockhampton, Queensland 4700Australia",61 7 4927 2133,61 7 4922 6096,NAN,NAN,www.gpcl.com.au,"23° 51' 4"" S","151° 17' 5"" E",AUROK,Seaport,Small,-23.851111111111113,151.28472222222223
Skardon River,Port of Skardon River,Far North Queensland Ports Corporation Limited,"Cnr Grafton and Hartley StreetsCairns, Queensland 4870Australia",61 7 4052 3888,61 7 4052 3853,NAN,enquiries@portsfnq.com.au,www.cairnsports.com.au,"11° 45' 28"" S","142° 4' 18"" E",AUSKA,River Port,Very Small,-11.757777777777777,142.07166666666666
Smithton,Port of Smithton,Tasmanian Ports Corporation Pty Ltd,"48 Formby RoadPO Box 478Devonport, Tasmania 7310Australia",61 3 6421 4911,61 3 6421 4988,NAN,secretary@tasports.com.au,www.tasports.com.au,"40° 50' 15"" S","145° 7' 18"" E",AUSIO,River Port,Very Small,-40.837500000000006,145.12166666666667
Southport,Hythe,NAN,SouthportAustralia,NAN,NAN,NAN,NAN,NAN,"43° 25' 58"" S","146° 58' 31"" E",NAN,"Pier, Jetty or Wharf",Very Small,-43.43277777777777,146.9752777777778
Stanley,Port of Stanley,Tasmanian Ports Corporation Pty Ltd,"48 Formby RoadPO Box 478Devonport, Tasmania 7310Australia",1 300 366 742,03 6421 4988,NAN,secretary@tasports.com.au,www.tasports.com.au,"40° 45' 49"" S","145° 18' 0"" E",AUSTA,"Pier, Jetty or Wharf",Very Small,-40.76361111111111,145.3
Strahan,Port of Strahan,Tasmanian Ports Corporation Pty Ltd,"48 Formby RoadPO Box 478Devonport, Tasmania 7310Australia",61 3 6421 4911,61 3 6421 4988,NAN,secretary@tasports.com.au,www.tasports.com.au,"42° 9' 16"" S","145° 19' 12"" E",AUSRN,Harbor,Small,-42.154444444444444,145.32
Thevenard,Port of Thevenard,Flinders Ports Pty Ltd,"296 St Vincent StreetPort Adelaide, South Australia 5015Australia",+61 8 8447 0611,+61 8 8447 0606,NAN,flindersports@flindersports.com.au,www.flindersports.com.au,"32° 8' 56"" S","133° 38' 32"" E",AUTHE,"Pier, Jetty or Wharf",Very Small,-32.14888888888889,133.64222222222222
Thursday Island,Port of Thursday Island,Far North Queensland Ports Corporation Limited,"Cnr Grafton and Hartley StreetsCairns, Queensland 4870Australia",61 7 4052 3888,61 7 4052 3853,NAN,enquiries@portsfnq.com.au,www.cairnsports.com.au,"10° 35' 8"" S","142° 13' 13"" E",AUTIS,"Pier, Jetty or Wharf",Small,-10.585555555555556,142.22027777777777
Townsville,Port of Townsville,Townsville Port Authority,"PO Box 1031Townsville, Queensland 4810Australia",61 7 4781 1500,617 4781 1525,NAN,info@townsville-port.com.au,www.townsville-port.com.au,"19° 15' 3"" S","146° 49' 46"" E",AUTSV,Harbor,Small,-19.250833333333333,146.82944444444445
Triabunna,Port of Spring Bay,Tasmanian Ports Corporation Pty Ltd,"48 Formby RoadPO Box 478Devonport, Tasmania 7310Australia",61 3 6421 4911,61 3 6421 4988,NAN,secretary@tasports.com.au,www.tasports.com.au,"42° 32' 49"" S","147° 55' 51"" E",AUSPB,"Pier, Jetty or Wharf",Small,-42.54694444444444,147.9308333333333
Triabunna,Triabunna Harbor,NAN,TriabunnaAustralia,NAN,NAN,NAN,NAN,NAN,"42° 30' 40"" S","147° 54' 56"" E",NAN,Harbor,Very Small,-42.51111111111111,147.91555555555556
Urangan,Urangan Harbor,NAN,UranganAustralia,NAN,NAN,NAN,NAN,NAN,"25° 17' 42"" S","152° 54' 33"" E",AUURN,Harbor,Small,-25.295,152.90916666666666
Useless Loop,Useless Loop,NAN,Useless LoopAustralia,NAN,NAN,NAN,NAN,NAN,"26° 6' 55"" S","113° 24' 47"" E",AUUSL,"Pier, Jetty or Wharf",Very Small,-26.11527777777778,113.41305555555556
Wallaroo,Port of Wallaroo,Flinders Ports Pty Ltd,296 St Vincent StreetPort AdelaideSouth Australia 5015Australia,+61 8 8447 0611,+61 8 8447 0606,NAN,flindersports@flindersports.com.au,www.flindersports.com.au,"33° 55' 28"" S","137° 37' 35"" E",AUWAL,"Pier, Jetty or Wharf",Small,-33.92444444444444,137.6263888888889
Weipa,Port of Weipa,North Queensland Bulk Ports Corporation Limited,"Level 24, 300 Queen StreetGPO Box 409Brisbane, Queensland 4001Australia",61 7 3224 7088,61 7 3224 71234,NAN,info@nqbp.com.au,www.nqbp.com.au,"12° 40' 12"" S","141° 52' 0"" E",AUWEI,"Pier, Jetty or Wharf",Small,-12.67,141.86666666666667
Whitemark,Port of Whitemark,Tasmanian Ports Corporation Pty Ltd,"48 Formby RoadPO Box 478Devonport, Tasmania 7310Australia",61 3 6421 4911,61 3 6421 4988,NAN,secretary@tasports.com.au,www.tasports.com.au,"40° 7' 18"" S","148° 0' 50"" E",NAN,"Pier, Jetty or Wharf",Small,-40.12166666666667,148.01388888888889
Whyalla,Port of Whyalla,OneSteel Whyalla Steelworks,"Locked Bag 8825South Coast Mail CentreWhyalla, NSW AustraliaAustralia",800 1 78335,800 101 141,NAN,onesteeldirect@onesteel.com,www.onesteel.com,"33° 2' 18"" S","137° 35' 42"" E",AUWYA,Seaport,Small,-33.038333333333334,137.595
Wollongong,Wollongong Harbor,NAN,WollongongAustralia,NAN,NAN,NAN,NAN,www.wollongong.nsw.gov.au,"34° 25' 13"" S","150° 54' 20"" E",NAN,Harbor,Small,-34.42027777777778,150.90555555555557
Wyndham,Port of Wyndham,ORDC - Wyndham Port,"PO Box 186Wyndham, WA 6740Australia",61 8 9161 1203,61 8 9161 1244,NAN,hmordport@westnet.com.au,NAN,"15° 27' 5"" S","128° 6' 5"" E",NAN,"Pier, Jetty or Wharf",Small,-15.451388888888888,128.1013888888889
Yamba,Port of Yamba,NSW Maritime Authority,"Pilot StationPilot StreetYamba, NSW 2464Australia",61 2 6646 2002,61 2 6646 1596,NAN,pilot@yamba.nsw.gov.au,www.yamba.nsw.gov.au,"29° 25' 48"" S","153° 21' 12"" E",AUYBA,Harbor,Small,-29.43,153.35333333333332
Clifton Point,Port of Clifton Point,NAN,Bahamas,NAN,NAN,NAN,NAN,www.bahamas.gov.bs,"25° 1' 27"" N","77° 32' 45"" W",BSCLP,Harbor,Small,25.024166666666666,-77.54583333333333
Man of War Bay,Port of Man of War Bay,NAN,Man of War BayInagua IslandsBahamas,NAN,NAN,NAN,NAN,NAN,"21° 3' 0"" N","73° 39' 3"" W",NAN,"Pier, Jetty or Wharf",Very Small,21.05,-73.65083333333334
Marsh Harbor,Marsh Harbor,NAN,Marsh HarborBahamas,NAN,NAN,NAN,NAN,NAN,"26° 32' 49"" N","77° 3' 21"" W",NAN,Harbor,Small,26.546944444444446,-77.05583333333333
Nassau,Port of Nassau,Nassau Port Authority,PO Box N-8175NassauBahamas,242-322-8832,242-322-5545,NAN,portaja@batelnet.bs,NAN,"25° 4' 36"" N","77° 19' 26"" W",BSNAS,Seaport,Small,25.076666666666668,-77.32388888888889
Ocean Cay,Port of Ocean Cay,NAN,Ocean CayBahamas,NAN,NAN,NAN,NAN,NAN,"25° 25' 5"" N","79° 12' 14"" W",BSOCE,"Pier, Jetty or Wharf",Very Small,25.418055555555558,-79.2038888888889
South Riding Point,Port of South Riding Point,South Riding Point Holding Ltd,"PO Box F-42530Freeport, Grand BahamaBahamas",242 353 4471,242 353 4573,NAN,srphl@netscape.net,NAN,"26° 37' 8"" N","78° 13' 41"" W",BSSRP,Harbor,Very Small,26.61888888888889,-78.22805555555556
Sitra,Port of Sitra,Sitra Port Authority,Bahrain,973 1775 7744,973 1775 7747,NAN,NAN,www.bahrainports.gov.bh,"26° 9' 31"" N","50° 39' 50"" E",BHSIT,"Pier, Jetty or Wharf",Small,26.15861111111111,50.663888888888884
Chalna,Port of Chalna,Mongla Port Authority (MPA),"Mongla, BagerhatBangladesh",04662-75200,04662-75224,NAN,mpa@bttb.net.bd,www.monglaport.com.bd,"22° 36' 6"" N","89° 31' 28"" E",BDCHL,River Port,Small,22.601666666666667,89.52444444444444
Khulna,Port of Khulna,Mongla Port Authority (MPA),"Mongla, BagerhatBangladesh",04662-75200,04662-75224,NAN,mpa@bttb.net.bd,www.monglaport.com.bd,"22° 47' 30"" N","89° 35' 3"" E",BDKHL,River Port,Small,22.791666666666668,89.58416666666666
Mongla,Port of Mongla,Mongla Port Authority (MPA),"Mongla, BagerhatBangladesh",04662-75200,04662-75224,NAN,mpa@bttb.net.bd,www.monglaport.com.bd,"22° 30' 14"" N","89° 35' 5"" E",BDMGL,River Port,Small,22.503888888888888,89.58472222222221
Bridgetown,Port of Bridgetown,Barbados Port Authority,"University RowPrincess Alice HighwayBridgetown, West IndiesBarbados",(246) 430-4700,(246) 429-5348,NAN,administrator@barbadosport.com,www.barbadosport.com,"13° 6' 25"" N","59° 37' 42"" W",BBBGI,Harbor,Small,13.106944444444444,-59.62833333333333
Mazyr,Port of Mazyr,NAN,MazyrBelarus,NAN,NAN,NAN,NAN,NAN,"52° 4' 35"" N","29° 14' 19"" E",NAN,River Port,Small,52.07638888888889,29.238611111111112
Namur,Port of Namur,NAN,NamurBelgium,NAN,NAN,NAN,NAN,NAN,"50° 27' 7"" N","4° 52' 29"" E",NAN,River Port,Small,50.45194444444445,4.874722222222223
Belize City,Port of Belize,Belize Ports Authority,Caesar Ridge RoadBelize CityBelize,501 227 2480,501 227 2500,NAN,portbz@btl.net,NAN,"17° 28' 47"" N","88° 12' 11"" W",BZBZE,Harbor,Small,17.47972222222222,-88.20305555555557
Freeport,Port of Freeport,Department of Marine and Port Services,"Freeport, Grand Bahama IslandBermuda",441 295 6575,441 295 5523,NAN,NAN,NAN,"32° 19' 27"" N","64° 50' 6"" W",BMFPT,Harbor,Small,32.32416666666667,-64.835
Hamilton,Port of Hamilton,Department of Marine and Port Services,PO Box HM 180HamiltonBermuda,441 295 6575,441 295 3718,NAN,NAN,NAN,"32° 17' 28"" N","64° 46' 55"" W",BMBDA,Seaport,Medium,32.29111111111111,-64.78194444444445
St. George's,St. George's,Department of Marine and Port Services,PO Box HM 180HamiltonBermuda,441 295 6575,441 295 3718,NAN,NAN,NAN,"32° 22' 46"" N","64° 40' 36"" W",BMSGE,Harbor,Small,32.379444444444445,-64.67666666666668
Puerto Quijarro,Puerto Aguirre,"Central Aguirre Portuaria, S.A.",Puerto QuijarroBolivia,591-3 9782222,591-3 9782106,NAN,NAN,www.puertoaguirre.com,"18° 59' 11"" S","57° 42' 25"" W",BOQJR,River Port,Small,-18.98638888888889,-57.706944444444446
Ipojuca,Suape Marine Terminal,Petrobras SA,"Suape Port and Industrial ComplexKm 10, Rodovia PE-60Ipojuca, PE Cep:5590-000Brazil",55 (81) 3527.5000,55 (81) 3527.5066,NAN,suape@suape.pe.gov.br,www.suape.pe.gov.br,"8° 23' 54"" S","34° 58' 2"" W",BRIPO,Seaport,Medium,-8.398333333333333,-34.967222222222226
Altamira,Port of Altamira,NAN,AltamiraBrazil,NAN,NAN,NAN,NAN,NAN,"3° 12' 45"" S","52° 12' 36"" W",NAN,River Port,Very Small,-3.2125000000000004,-52.21
Anori,Port of Anori,NAN,"Anori, Amazonas Brazil",NAN,NAN,NAN,NAN,NAN,"3° 44' 56"" S","61° 39' 28"" W",NAN,River Port,Very Small,-3.748888888888889,-61.657777777777774
Candeias,Dow Quimica Terminal,Dow Quimica SA,"Rodovia MatoimRodovia MatoimCandeias, BA 43800-000Brazil",55 71 801 1011,55 71 649 5042,NAN,NAN,www.dow.com/facilities/lamerica/candeias.htm,"12° 47' 21"" S","38° 28' 30"" W",NAN,"Pier, Jetty or Wharf",Small,-12.789166666666667,-38.475
Carmopolis,Port of Carmopolis,Petrobras,CarmopolisBrazil,NAN,NAN,NAN,NAN,www.petrobras.com.br,"11° 3' 0"" S","37° 1' 0"" W",NAN,Off-Shore Terminal,Very Small,-11.05,-37.016666666666666
Coari,Port of Coari,NAN,"Coari, Amazonas Brazil",NAN,NAN,NAN,NAN,NAN,"4° 5' 0"" S","63° 8' 24"" W",NAN,River Port,Very Small,-4.083333333333333,-63.14
Codajas,Port of Codajas,NAN,"Codajas, Amazonas Brazil",NAN,NAN,NAN,NAN,NAN,"3° 50' 39"" S","62° 3' 37"" W",NAN,River Port,Very Small,-3.8441666666666667,-62.06027777777778
Corumba,Port of Corumba,Hidrovias Do Paraguai,CorumbaBrazil,55 67 2312913,55 67 231 2661,NAN,NAN,www.ahipar.gov.br,"18° 59' 42"" S","57° 39' 17"" W",BRCMG,River Port,Small,-18.995,-57.65472222222222
Gebig,Port of Gebig,Terminal Petroleiro Gebig,"Pier de GebigRodovia Rio Santos Km 81, JacuacangaAngra dos Reis, RJBrazil",55 24 2361 2255,55 24 2361 2255,NAN,NAN,NAN,"23° 3' 25"" S","44° 14' 10"" W",BRGEB,"Pier, Jetty or Wharf",Small,-23.056944444444444,-44.236111111111114
Guamare,Guamare Oil Terminal,NAN,GuamareBrazil,NAN,NAN,NAN,NAN,www.petrobras.com.br,"4° 56' 42"" S","36° 19' 56"" W",NAN,Off-Shore Terminal,Very Small,-4.945,-36.33222222222223
Humaita,Port of Humaita,NAN,HumaitaBrazil,NAN,NAN,NAN,NAN,NAN,"7° 30' 17"" S","63° 1' 5"" W",NAN,River Port,Very Small,-7.504722222222222,-63.018055555555556
Ipojuca,Suape Marine Terminal,Petrobras SA,"Suape Port and Industrial ComplexKm 10, Rodovia PE-60Ipojuca, PE Cep:5590-000Brazil",55 (81) 3527.5000,55 (81) 3527.5066,NAN,suape@suape.pe.gov.br,www.suape.pe.gov.br,"8° 23' 54"" S","34° 58' 2"" W",BRIPO,Seaport,Medium,-8.398333333333333,-34.967222222222226
Itaguai,Sepetiba Terminal,Companhia Docas do Rio de Janeiro (CDRJ),"Estrada da Ilha da Madeira, km 2,5Itaguai, RJ CEP 23824-410Brazil",55 21 2688 1424,55 21 2688 1287,NAN,NAN,www.portosrio.gov.br,"23° 0' 37"" S","44° 2' 0"" W",BRSPB,Seaport,Very Small,-23.010277777777777,-44.03333333333333
Landaria,Port of Landaria,NAN,LandariaBrazil,NAN,NAN,NAN,NAN,NAN,"19° 0' 0"" S","57° 36' 15"" W",NAN,River Port,Small,-19.0,-57.60416666666667
Macapa,Port of Macapa,Macapa (Santana) Port Authority,"Companhia Docos do Para (CDP)Rua Senador Felinto, Rua Senador FelintoSantana, APBrazil",55 96 281 1092,NAN,NAN,NAN,NAN,"0° 1' 56"" N","51° 2' 53"" W",NAN,River Port,Small,0.03222222222222222,-51.04805555555556
Madre de Deus,Port of Madre de Deus,NAN,Madre de DeusBrazil,NAN,NAN,NAN,NAN,NAN,"12° 45' 5"" S","38° 37' 24"" W",NAN,Seaport,Small,-12.751388888888888,-38.623333333333335
Manicore,Port of Manicore,NAN,ManicoreBrazil,NAN,NAN,NAN,NAN,NAN,"5° 48' 43"" S","61° 17' 54"" W",NAN,River Port,Very Small,-5.811944444444444,-61.29833333333333
Miramar,Miramar Oil Terminal,NAN,MiramarBrazil,NAN,NAN,NAN,NAN,NAN,"1° 24' 10"" S","48° 29' 36"" W",NAN,Seaport,Small,-1.4027777777777777,-48.49333333333333
Mucuripe,Port of Mucuripe,Companhia Docas do Ceara - CDC,"Marfisa Maria de Aguiar Ferreira XimenesPraca Amigos da Marinha S/n – MucuripeFortaleza, CE 60182 640Brazil",085 266-5300,085 266-5211,NAN,docasdoceara@docasdoceara.com.br,www.docasdoceara.com.br,"3° 42' 27"" S","38° 28' 37"" W",BRFOR,Seaport,Small,-3.7075,-38.47694444444445
Ponta da Madeira,Port of Ponta da Madeira,NAN,Ponta da MadeiraBrazil,NAN,NAN,NAN,NAN,NAN,"2° 32' 2"" S","44° 21' 21"" W",BRPMA,"Pier, Jetty or Wharf",Very Small,-2.533888888888889,-44.35583333333334
Porto Agropecuaria Norte,Porto Agropecuaria Norte,Agropecuaria Brasil Norte,Brazil,NAN,NAN,NAN,NAN,NAN,"2° 41' 57"" S","50° 32' 12"" W",NAN,River Port,Very Small,-2.6991666666666667,-50.53666666666666
Porto Murtinho,Porto Murtinho,NAN,"Porto Murtinho, MSBrazil",NAN,NAN,NAN,NAN,NAN,"21° 41' 29"" S","57° 52' 59"" W",NAN,River Port,Very Small,-21.691388888888888,-57.88305555555556
Porto Peixinho,Porto Peixinho,NAN,Porto PeixinhoBrazil,NAN,NAN,NAN,NAN,NAN,"19° 0' 50"" S","57° 41' 59"" W",NAN,River Port,Very Small,-19.01388888888889,-57.69972222222222
Porto-Ilha,Porto-Ilha,NAN,Porto-IlhaBrazil,NAN,NAN,NAN,NAN,NAN,"4° 57' 17"" S","37° 8' 12"" W",NAN,Harbor,Small,-4.954722222222222,-37.13666666666666
Portocel,Port of Portocel,Portocel Terminal Especializa de Barra do Riacho SA,"Companhia Docas do EspiritioAv Getulio Vargas, 556Vitoria, ES 29197-000Brazil",55 27 3270 4432,55 27 3270 4433,NAN,mlm@aracruz.com.br,NAN,"19° 50' 37"" S","40° 3' 29"" W",BRPCL,Seaport,Small,-19.84361111111111,-40.058055555555555
Regencia,Port of Regencia,Companhia Docas do Espirito Santo (CODESA),"Admin do Porto de RegenciaAv Getulio Vargas 563Vitoria, ES 29030-020Brazil",55 27 3321 1249,55 27 3222 7360,NAN,dirope@nutecnet.com.br,NAN,"19° 38' 42"" S","39° 49' 23"" W",NAN,"Pier, Jetty or Wharf",Small,-19.645,-39.823055555555555
Rio de Janeiro,Butadiene Dock Island,NAN,Rio de JaneiroBrazil,NAN,NAN,NAN,NAN,NAN,"22° 52' 5"" S","43° 7' 59"" W",NAN,Seaport,Small,-22.868055555555557,-43.13305555555556
Santa Clara,Port of Santa Clara,NAN,Santa ClaraBrazil,NAN,NAN,NAN,NAN,NAN,"29° 54' 11"" S","51° 22' 22"" W",NAN,River Port,Very Small,-29.903055555555554,-51.37277777777778
Santana,Port of Santana,Macapa (Santana) Port Authority,"Companhia Docos do Para (CDP)Rua Senador Felinto, Rua Senador FelintoSantana, APBrazil",55 96 281 1092,NAN,NAN,NAN,NAN,"0° 3' 40"" S","51° 10' 1"" W",BRSAN,"Pier, Jetty or Wharf",Small,-0.061111111111111116,-51.16694444444444
Santos,Alemoa Terminal,NAN,SantosBrazil,NAN,NAN,NAN,NAN,NAN,"24° 1' 25"" S","46° 20' 0"" W",NAN,Off-Shore Terminal,Very Small,-24.02361111111111,-46.333333333333336
Sao Cristovao,Port of Sao Cristovao,NAN,Sao CristovaoBrazil,NAN,NAN,NAN,NAN,NAN,"11° 5' 47"" S","37° 8' 59"" W",NAN,River Port,Very Small,-11.096388888888889,-37.14972222222222
Sao Francisco do Sul,Sao Francisco do Sul Marine Terminal,Administracao do Porto de Sao Francisco do Sul,"Av Eng Leite Ribeiro 782Bairro CentroSao Francisco do Sul, SC 89240-000Brazil",55 47 471 1200,55 47 471 1211,NAN,licitacao@apsfs.sc.gov.br,www.apsfs.sc.gov.br,"26° 13' 59"" S","48° 25' 0"" W",NAN,Off-Shore Terminal,Very Small,-26.233055555555556,-48.416666666666664
Sao Sebastiao,Admiral Barroso Terminal,NAN,Sao SebastiaoBrazil,NAN,NAN,NAN,NAN,NAN,"23° 42' 35"" S","45° 19' 53"" W",NAN,Off-Shore Terminal,Very Small,-23.709722222222222,-45.331388888888895
